Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,?,1,2,0
1909-09-07,"Juvisy-sur-Orge, France",?,Wright Byplane,SC1,1,1,0
1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,?,5,5,0
1913-08-06,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,?,1,1,0
1913-09-09,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),?,14,20,0
1913-10-17,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),?,28,28,0
1915-03-05,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),?,17,41,0
1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),?,19,19,0
1916-07-28,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),?,20,20,0
1916-09-24,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),?,22,22,0
1916-10-01,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),?,19,19,0
1916-11-21,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),?,27,28,0
1916-11-28,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),?,20,20,0
1917-03-04,"Near Gent, Belgium",Military - German Army,Airship,?,20,20,0
1917-03-30,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),?,23,23,0
1917-05-14,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),?,21,21,0
1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),?,24,24,0
1917-06-17,"Near Yarmouth, England",?,Zepplin L-48 (air ship),L-48,14,16,0
1917-08-21,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),?,18,18,0
1917-10-20,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),?,18,18,0
1918-04-07,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),?,23,23,0
1918-08-05,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),?,22,22,0
1918-08-11,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),?,19,19,0
1918-12-16,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,97,1,1,0
1919-05-25,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,61,1,1,0
1919-07-19,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,82,1,1,0
1919-07-21,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,?,3,?,10
1919-08-02,"Verona, Italy",Caproni Company,Caproni Ca.48,?,14,14,0
1919-10-02,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,?,1,1,0
1919-10-14,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,32,1,1,0
1919-10-20,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,G-EAHG,0,0,0
1919-10-30,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,77,1,1,0
1919-12-11,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,G-EAHF,1,1,0
1920-03-10,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,65,1,1,0
1920-03-30,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,72,1,1,0
1920-04-10,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,49,1,2,0
1920-04-11,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,44,1,2,0
1920-05-12,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,79,1,2,0
1920-06-06,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,204,1,1,0
1920-07-20,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,?,1,1,0
1920-08-16,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,G-EALW,1,1,0
1920-08-16,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,317,1,1,0
1920-09-01,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,305,2,2,0
1920-09-15,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,308,2,2,0
1920-09-27,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,316,1,1,0
1920-10-02,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,F-ALAI,2,2,0
1920-10-05,"Valencia, Spain",Latecoere Airlines,Breguet 14,F-ALTA,2,2,0
1920-10-15,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,76,1,1,0
1920-11-07,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,?,1,1,0
1920-12-14,"London, England",Handley Page Transport,Handley Page HP-16,G-EAMA,4,8,0
1920-12-24,"Barcelona, Spain",Aeropostale,Breguet 14,F-ALBO,1,1,0
1921-02-03,"Mendotta, Minnisota",US Aerial Mail Service,De Havilland DH-4,130,1,1,0
1921-02-09,"La Crosse, Wisconsin",US Aerial Mail Service,Junkers F-13,301,3,3,0
1921-02-15,Off Gibraltar,Aeropostale,Breguet 14,F-ALBA,2,2,0
1921-02-22,"Elko, Nevada",US Aerial Mail Service,De Havilland DH-4,67,1,1,0
1921-04-06,"Point Cook, Australia",Military - Royal Australian Air Force,Avro 504,H3021,2,2,0
1921-04-21,"Mitchel Field, NY",US Aerial Mail Service,De Havilland DH-4,160,1,1,0
1921-04-29,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,196,1,1,0
1921-05-17,"Rock Springs, Wyoming",US Aerial Mail Service,De Havilland DH-4 DH-4,176,1,1,0
1921-08-14,"Toulouse, France",Aeropostale,Breguet 14,F-ALBI,2,2,0
1921-08-24,"River Humber, England",Military - Royal Airship Works,Royal Airship Works ZR-2 (airship),R-38,43,49,1
1921-09-06,"Paris, France",Franco-Roumaine,Potez IX,F-ADCD,5,5,0
1921-12-05,"Near Murchinson River, Australia",West Australian Airways,Bristol 28 Tourer,G-AUDI,2,2,0
1922-01-14,"Paris, France",Handley Page Transport,Handley Page O/10,G-EATN,5,5,5
1922-02-21,"Near Norfolk, Virginia",Military - U.S. Army Air Service,Dirigible Roma (airship),?,34,45,0
1922-03-22,North Atlantic Ocean,Aero Limited,Aeromarine Model 85 (flying boat),?,5,6,0
1922-04-07,"Grandvilliers, France",Daimler Airways / Grands Express Aeriens,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,7,7,0
1922-04-08,"Pao Ting Fou, China",?,?,?,17,17,0
1922-06-03,"Off Folkestone, Kent, England",Cie des Messageries Aeriennes,Bleriot Spad 27,F-ACMH,3,3,0
1922-07-04,"Fuhlsbuttel, Germany",?,LVG C VI,?,2,3,0
1922-07-16,"Near Saverne, Lorraine, France",Compagnie Franco-Roumaine de Navigaation Aerienne,Potez 29,F-FREI,5,5,0
1922-07-26,"Cadix, Spain",Grands Express Aeriens,Breguet 14,F-ALVE,3,3,0
1922-09-07,"Indianapolis, Indiana",US Aerial Mail Service,De Havilland DH-4,227,1,1,0
1922-10-02,"Venice, Italy",de Havilland Air Service,de Havilland DH-9,G-EAYT,4,4,0
1922-10-25,"Larache, Morocco",Grands Express Aeriens,Breguet 14,?,2,2,0
1922-12-03,"Fez, Morocco",Grands Express Aeriens,Breguet 14,F-ALNA,1,1,0
1923-01-10,"Ajaccio, France",Amee de l'Air,Lioré-et-Olivier H-13,F-AEIB,3,4,0
1923-01-17,"Barcelona, Spain",Grands Express Aeriens,Breguet 14,F-ALJU,1,1,0
1923-01-18,"Cheyenne, Wyoming",US Aerial Mail Service,De Havilland DH-4,223,1,1,0
1923-02-26,"Meadville, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,291,1,1,0
1923-05-14,"Near Amiens, Picrdie, France",Grands Express Aeriens (Air Union),Farman F-60 Goliath,F-AEBY,6,6,0
1923-08-27,"East Mallling, United Kingdom",Air Union,Farman F.60 Goliath,F-AECB,1,11,0
1923-08-27,"Bucharest, Romania",Campagnie France Roumaine,Blériot Spad 46,F-AEGN,2,2,0
1923-09-07,"Colton, Ohio",US Aerial Mail Service,De Havilland DH-4,283,1,1,0
1923-09-14,"Near Ivinghoe, Buckinghamshire, England",Daimler Airways,de Havilland DH-34,G-EBBS,5,5,0
1923-11-18,Russia,CCCP,Junkers F-13,D-257,3,5,0
1923-12-06,"Castalia, Ohio",US Aerial Mail Service,De Havilland DH-4,318,1,1,0
