Date,Location,Operator,Aircraft_Type,Registration,Fatalities
17 Sep 1908,"Fort Myer, Virginia",Military - U.S. Army,Wright Flyer III,?,1/2(0)
07 Sep 1909,"Juvisy-sur-Orge, France",?,Wright Byplane,SC1,1/1(0)
12 Jul 1912,"Atlantic City, New Jersey",Military - U.S. Navy,Dirigible,?,5/5(0)
06 Aug 1913,"Victoria, British Columbia, Canada",Private,Curtiss seaplane,?,1/1(0)
09 Sep 1913,Over the North Sea,Military - German Navy,Zeppelin L-1 (airship),?,14/20(0)
17 Oct 1913,"Near Johannisthal, Germany",Military - German Navy,Zeppelin L-2 (airship),?,28/28(0)
05 Mar 1915,"Tienen, Belgium",Military - German Navy,Zeppelin L-8 (airship),?,17/41(0)
03 Sep 1915,"Off Cuxhaven, Germany",Military - German Navy,Zeppelin L-10 (airship),?,19/19(0)
28 Jul 1916,"Near Jambol, Bulgeria",Military - German Army,Schutte-Lanz S-L-10 (airship),?,20/20(0)
24 Sep 1916,"Billericay, England",Military - German Navy,Zeppelin L-32 (airship),?,22/22(0)
01 Oct 1916,"Potters Bar, England",Military - German Navy,Zeppelin L-31 (airship),?,19/19(0)
21 Nov 1916,"Mainz, Germany",Military - German Army,Super Zeppelin (airship),?,27/28(0)
28 Nov 1916,"Off West Hartlepool, England",Military - German Navy,Zeppelin L-34 (airship),?,20/20(0)
04 Mar 1917,"Near Gent, Belgium",Military - German Army,Airship,?,20/20(0)
30 Mar 1917,Off Northern Germany,Military - German Navy,Schutte-Lanz S-L-9 (airship),?,23/23(0)
14 May 1917,"Near Texel Island, North Sea",Military - German Navy,Zeppelin L-22 (airship),?,21/21(0)
14 Jun 1917,"Off Vlieland Island, North Sea",Military - German Navy,Zeppelin L-43 (airship),?,24/24(0)
17 Jun 1917,"Near Yarmouth, England",?,Zepplin L-48 (air ship),L-48,14/16(0)
21 Aug 1917,Off western Denmark,Military - German Navy,Zeppelin L-23 (airship),?,18/18(0)
20 Oct 1917,"Near Luneville, France",Military - German Navy,Zeppelin L-44 (airship),?,18/18(0)
07 Apr 1918,Over the Mediterranean,Military - German Navy,Zeppelin L-59 (airship),?,23/23(0)
05 Aug 1918,"Off Helgoland Island, Germany",Military - German Navy,Zeppelin L-70 (airship),?,22/22(0)
11 Aug 1918,"Ameland Island, North Sea",Military - German Navy,Zeppelin L-53 (airship),?,19/19(0)
16 Dec 1918,"Elizabeth, New Jersey",US Aerial Mail Service,De Havilland DH-4,97,1/1(0)
25 May 1919,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,61,1/1(0)
19 Jul 1919,"Dix Run, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,82,1/1(0)
21 Jul 1919,"Chicago, Illinois",Wingfoot Air Express Goodyear Tire,FD Type Dirigible,?,3/?(10)
02 Aug 1919,"Verona, Italy",Caproni Company,Caproni Ca.48,?,14/14(0)
02 Oct 1919,"Newcastle, England",Aircraft Transport and Travel,De Havilland DH-4,?,1/1(0)
14 Oct 1919,"Cantonsville, Maryland",US Aerial Mail Service,Curtiss R-4LM,32,1/1(0)
20 Oct 1919,"English Channel off Forkstone, Kent",Aircraft Transport and Travel,De Havilland DH-4,G-EAHG,0/0(0)
30 Oct 1919,"Long Valley, New Jersey",US Aerial Mail Service,De Havilland DH.4,77,1/1(0)
11 Dec 1919,"Catherham, Surrey, UK",Aircraft Travel Transport,de Havilland DH-4,G-EAHF,1/1(0)
10 Mar 1920,"New Paris, Indiana",US Aerial Mail Service,De Havilland DH-4,65,1/1(0)
30 Mar 1920,"Newark, New Jersey",US Aerial Mail Service,De Havilland DH-4,72,1/1(0)
10 Apr 1920,"Newark, New Jersey",US Aerial Mail Service,Curtiss R-4LM,49,1/2(0)
11 Apr 1920,"Heller Field, New Jersey",US Aerial Mail Service,Curtiss JN-4H,44,1/2(0)
12 May 1920,"Oskaloosa, Iowa",US Aerial Mail Service,De Havilland DH-4,79,1/2(0)
06 Jun 1920,"Cleveland, Ohio",US Aerial Mail Service,De Havilland DH-4,204,1/1(0)
20 Jul 1920,"Cartagena, Columbia",Compañia Colombiana de Navegación Aérea,Farman F-40,?,1/1(0)
16 Aug 1920,"Bedford, England",By Air,Armstrong-Whitworth F-K-8,G-EALW,1/1(0)
16 Aug 1920,"College Park, Maryland",US Aerial Mail Service,De Havilland DH-4,317,1/1(0)
01 Sep 1920,"Morristown, New Jersey",US Aerial Mail Service,Junkers JL-6,305,2/2(0)
15 Sep 1920,"Pemberville, Ohio",US Aerial Mail Service,Junkers F-13,308,2/2(0)
27 Sep 1920,"Hillersburg, Pennsylvania",US Aerial Mail Service,De Havilland DH-4,316,1/1(0)
02 Oct 1920,"Off Port Vendres, France",Latecoere Airlines,Salmson 2-A-2,F-ALAI,2/2(0)
05 Oct 1920,"Valencia, Spain",Latecoere Airlines,Breguet 14,F-ALTA,2/2(0)
15 Oct 1920,"Batavia, Illinois",US Aerial Mail Service,De Havilland DH-4,76,1/1(0)
07 Nov 1920,"Tie Siding, Wyoming",US Aerial Mail Service,De Havilland DH-4,?,1/1(0)
14 Dec 1920,"London, England",Handley Page Transport,Handley Page HP-16,G-EAMA,4/8(0)
24 Dec 1920,"Barcelona, Spain",Aeropostale,Breguet 14,F-ALBO,1/1(0)
